Image Number,Identitiy,Participant 1 Group,Participant 2 Group,Participant 3 Group,Participant 1.1 Group,Participant 2.1 Group,Participant 3.1 Group,Participant 7
17,A,1,1,1,1,1,1,4
41,B,1,1,1,1,1,1,4
47,C,2,1,2,1,1,1,4
62,D,1,1,1,1,1,1,4
70,E,3,3,3,2,2,2,3
72,F,2,2,3,2,2,2,2
74,G,2,2,2,2,2,2,3
76,H,4,3,4,3,4,3,1
78,I,3,4,4,2,3,4,2
81,J,2,2,2,1,2,2,3
100,K,2,2,2,2,2,2,3
103,L,2,1,3,3,4,1,4
107,M,4,3,4,3,3,3,1
120,N,1,2,2,1,2,2,3
129,O,4,3,4,3,4,3,1
131,P,1,1,1,1,1,1,4
134,Q,2,2,2,1,2,2,3
143,R,4,4,4,4,4,3,1
151,S,1,1,1,1,1,1,4
162,T,1,1,1,1,1,1,4
164,U,1,2,2,2,1,1,3
182,V,2,2,2,2,2,2,3
195,W,2,2,2,1,2,2,3
202,X,1,1,1,1,1,1,4
213,Y,1,1,1,1,1,1,4
220,Z,1,1,1,1,1,1,4
227,AA,1,2,1,1,1,1,4
237,BB,2,2,2,2,2,2,3
239,CC,1,1,1,1,1,1,4
242,DD,4,4,4,3,3,3,1
258,EE,1,1,1,1,1,1,4
259,FF,2,2,2,2,2,2,3
300,GG,1,1,1,1,1,1,4
322,HH,1,1,1,1,1,1,4
326,II,3,1,3,1,2,1,4
346,JJ,1,1,1,1,1,1,4
349,KK,1,1,1,1,1,1,4
351,LL,3,3,3,3,4,4,3
374,MM,2,2,2,2,2,2,3
379,NN,1,1,2,1,2,1,4
381,OO,4,3,3,3,4,3,2
382,PP,1,1,1,1,1,1,4
388,QQ,4,3,4,2,4,3,2
394,RR,2,2,2,2,2,2,3
397,SS,2,2,2,2,2,2,3
398,TT,2,2,2,2,2,2,3
401,UU,1,1,1,1,1,1,4
404,VV,1,1,2,1,2,1,4
410,WW,2,2,2,2,2,2,3
422,XX,1,1,1,1,1,1,4
426,YY,3,4,4,3,3,3,2
441,ZZ,2,4,3,2,2,2,3
453,AAA,2,4,3,3,3,4,3
455,BBB,1,1,1,1,1,1,4
457,CCC,3,3,3,3,4,4,3
459,DDD,1,1,1,1,1,1,4
465,EEE,4,3,4,3,4,3,1
474,FFF,2,4,3,2,2,2,3
494,GGG,2,4,3,2,2,2,2
496,HHH,1,1,1,1,1,1,4
499,III,4,4,4,3,3,3,1
