Image Number,Identitiy,Participant 1 Group,Participant 2 Group,Participant 3 Group,Participant 1.1 Group,Participant 2.1 Group,Participant 3.1 Group, Participant 7
3,A,4,3,4,2,4,4,1
6,B,2,2,3,1,3,3,2
11,C,1,1,1,3,1,1,3
30,D,2,1,2,1,3,1,2
34,E,2,4,1,3,2,1,4
54,F,2,1,2,1,3,3,1
55,G,2,4,1,1,3,3,3
60,H,2,1,1,1,1,1,3
92,I,4,2,3,2,4,4,1
101,J,1,1,1,3,1,1,3
105,K,1,1,1,3,1,1,3
113,L,2,1,2,1,3,3,2
121,M,4,2,3,4,4,2,3
148,N,2,4,1,3,3,3,3
152,O,2,1,2,3,3,1,3
160,P,3,4,2,1,3,3,4
170,Q,3,4,2,3,2,1,4
171,R,3,4,2,1,2,1,2
175,S,3,2,2,3,3,1,4
176,T,2,4,1,1,2,1,3
211,U,1,1,1,1,1,1,2
214,V,1,1,1,3,1,1,3
217,W,1,1,1,3,1,1,3
218,X,2,1,2,1,3,3,1
219,Y,2,1,2,1,3,3,3
228,Z,2,4,1,3,3,1,4
235,AA,2,4,1,1,3,3,3
236,BB,4,3,4,2,4,2,1
249,CC,2,1,1,3,1,1,3
254,DD,2,1,2,1,2,3,3
261,EE,2,4,2,1,3,3,3
265,FF,2,4,3,3,2,1,4
271,GG,1,4,1,3,3,3,4
296,HH,1,4,1,3,2,1,3
301,II,4,3,3,2,4,4,1
303,JJ,4,2,3,4,4,2,2
321,KK,2,4,2,1,3,3,2
325,LL,1,1,1,3,2,1,4
335,MM,2,4,2,1,3,3,1
336,NN,4,2,4,4,4,2,2
338,OO,1,1,1,3,3,1,3
343,PP,3,2,3,1,3,3,2
357,QQ,2,4,2,1,3,3,2
360,RR,1,4,1,3,2,1,4
369,SS,2,4,2,1,3,3,3
376,TT,1,4,1,3,1,1,4
378,UU,1,4,1,3,2,1,4
390,VV,2,4,2,1,2,1,4
399,WW,1,1,1,3,3,1,4
409,XX,1,4,1,3,2,1,4
419,YY,1,1,1,3,1,1,4
440,ZZ,3,4,3,2,3,2,2
442,AAA,1,1,1,1,1,1,3
460,BBB,2,4,2,1,3,3,1
461,CCC,1,1,1,3,1,1,3
485,DDD,1,1,1,3,3,1,3
487,EEE,1,1,2,1,1,1,3
488,FFF,3,2,3,4,4,2,2
