Image Number,Identitiy,Participant 1 Group,Participant 2 Group,Participant 3 Group,Participant 1.1 Group,Participant 2.1 Group,Participant 3.1 Group,Participant 7
7,A,4,2,4,4,1,4,2
28,B,1,1,1,1,3,2,4
33,C,4,2,4,3,1,4,2
38,D,4,2,4,4,1,4,1
42,E,1,1,1,1,3,2,4
51,F,4,2,4,4,1,4,1
58,G,3,4,3,2,2,1,2
86,H,4,4,3,2,2,3,3
89,I,1,3,1,1,3,2,4
98,J,2,3,2,1,4,2,4
111,K,1,1,2,1,4,2,4
128,L,1,1,1,1,4,2,4
145,M,2,3,2,1,3,2,4
157,N,4,2,4,4,1,4,1
159,O,1,1,1,1,4,2,4
163,P,4,2,4,3,1,4,2
180,Q,1,1,1,1,4,2,4
187,R,1,3,2,1,4,2,4
194,S,1,1,2,1,4,2,4
196,T,3,2,4,3,1,4,2
205,U,2,4,3,3,2,1,3
212,V,2,4,3,3,2,3,2
221,W,4,2,4,4,1,4,1
223,X,1,3,2,1,3,2,4
229,Y,3,4,3,2,2,3,3
230,Z,2,4,3,2,2,3,3
232,AA,3,2,4,4,1,4,1
238,BB,2,3,2,2,2,1,3
250,CC,2,1,2,1,2,3,4
266,DD,4,2,4,4,1,4,1
267,EE,4,2,4,2,1,4,1
278,FF,4,2,4,3,1,4,1
316,GG,1,3,1,1,3,2,4
317,HH,2,4,2,1,2,3,4
328,II,1,1,1,1,4,2,4
331,JJ,2,3,3,2,4,2,3
332,KK,2,3,2,1,4,3,4
337,LL,2,3,1,1,3,2,4
340,MM,4,2,3,3,1,4,1
345,NN,4,2,4,3,1,4,2
366,OO,1,1,1,1,4,2,4
367,PP,2,4,2,2,2,3,4
372,QQ,1,3,1,1,4,2,4
384,RR,4,2,4,3,1,4,2
413,SS,1,1,1,1,4,2,4
418,TT,4,2,4,3,1,4,1
424,UU,4,2,4,4,1,4,1
427,VV,2,3,2,2,3,2,3
429,WW,1,1,1,1,4,2,4
435,XX,3,4,3,3,2,1,2
445,YY,3,3,3,2,2,4,2
450,ZZ,2,3,2,1,3,2,4
469,AAA,3,2,3,3,1,1,3
471,BBB,4,2,4,4,1,4,1
479,CCC,2,3,3,2,4,2,3
490,DDD,1,1,1,1,4,2,4
491,EEE,1,1,1,1,3,2,4
