Image Number,Identitiy,Participant 1 Group,Participant 2 Group,Participant 3 Group,Participant 1.1 Group,Participant 2.1 Group,Participant 3.1 Group,Participant 7
16,A,1,3,2,1,2,1,4
22,B,3,1,4,4,4,4,2
32,C,3,1,4,3,4,3,2
35,D,3,1,4,4,4,4,1
40,E,4,1,4,4,4,4,1
45,F,1,3,1,1,1,1,3
68,G,2,3,1,1,3,2,3
69,H,1,2,1,1,2,1,4
77,I,1,3,2,2,2,1,3
91,J,3,1,4,3,4,4,2
96,K,2,2,3,3,3,3,3
99,L,4,1,4,4,4,4,1
112,M,3,1,4,4,4,4,2
115,N,1,2,1,1,1,1,4
119,O,3,1,4,4,4,4,1
123,P,2,4,3,3,3,2,3
127,Q,3,1,4,3,4,4,1
133,R,2,4,2,2,1,1,3
135,S,2,4,2,1,1,1,4
136,T,1,2,1,1,1,1,4
140,U,2,2,2,1,1,1,4
146,V,4,1,4,4,4,4,1
149,W,2,3,2,2,2,1,3
165,X,3,1,4,4,4,4,2
166,Y,1,2,2,2,2,1,4
174,Z,4,1,4,4,4,4,1
184,AA,1,3,1,2,1,1,3
186,BB,1,2,1,1,1,1,4
190,CC,3,1,4,4,4,4,1
216,DD,2,3,2,2,2,1,3
224,EE,1,3,1,2,2,1,3
241,FF,3,1,4,4,4,4,2
244,GG,4,1,4,4,4,4,1
269,HH,1,2,1,1,1,1,4
280,II,1,4,2,2,2,1,4
281,JJ,4,1,4,3,4,4,1
291,KK,1,3,1,2,2,1,3
294,LL,3,1,4,4,4,4,2
304,MM,3,1,4,4,4,4,2
306,NN,3,1,3,3,3,4,2
310,OO,1,3,2,2,2,1,3
319,PP,3,1,4,3,4,4,2
320,QQ,1,4,2,1,1,1,4
333,RR,4,1,4,4,4,4,1
358,SS,1,3,1,2,1,1,2
361,TT,3,1,3,3,4,3,2
365,UU,1,3,1,2,2,1,3
373,VV,2,4,2,2,2,1,3
396,WW,2,4,3,2,3,3,3
400,XX,2,4,3,2,3,2,3
402,YY,3,1,4,3,4,4,2
408,ZZ,3,1,3,3,4,3,2
423,AAA,3,1,4,3,4,4,2
425,BBB,2,4,3,2,3,2,3
448,CCC,4,1,4,4,4,4,1
452,DDD,3,1,4,4,4,4,1
464,EEE,1,4,1,1,2,1,4
467,FFF,1,4,2,2,2,1,4
473,GGG,2,3,3,2,3,2,3
475,HHH,3,3,3,3,4,4,2
